PWID,urban_rural
NJ1615001,urban
NJ1615002,urban
NJ1615003,urban
NJ1615006,urban
NJ1615008,urban
NJ1615012,urban
NJ1615014,urban
NJ1615016,urban
NJ1615018,rural
NJ1615020,urban
NJ1615340,rural
NJ1206001,urban
NJ1207001,urban
NJ1208001,urban
NJ1209002,urban
NJ1212001,urban
NJ1213002,urban
NJ1213321,urban
NJ1214001,urban
NJ1215001,urban
NJ1216001,urban
NJ1219001,urban
NJ1221004,urban
NJ1616001,urban
NJ1702001,urban
NJ1704001,rural
NJ1707001,urban
NJ1708001,rural
NJ1710001,rural
NJ1710002,rural
NJ1710003,rural
NJ1710007,rural
NJ1710304,urban
NJ1712001,urban
NJ1714003,rural
NJ1223001,urban
NJ1224001,urban
NJ1302001,urban
NJ1304001,urban
NJ1305001,urban
NJ1306001,urban
NJ1308001,urban
NJ1309001,rural
NJ1309002,urban
NJ1309415,rural
NJ1312001,urban
NJ1715001,urban
NJ1803002,urban
NJ1808001,urban
NJ1817001,urban
NJ1901001,rural
NJ1902003,rural
NJ1902005,urban
NJ1902007,urban
NJ1902008,urban
NJ1902009,urban
NJ1902346,rural
NJ1903001,rural
NJ1904001,urban
NJ1904002,urban
NJ1314001,urban
NJ1315001,urban
NJ1316001,urban
NJ1319007,urban
NJ1319008,urban
NJ1319009,urban
NJ1319010,rural
NJ1321001,urban
NJ1322001,urban
NJ1326001,urban
NJ1326002,urban
NJ1326005,rural
NJ1326007,rural
NJ1327001,urban
NJ1328002,urban
NJ1904003,rural
NJ1904004,rural
NJ1904009,urban
NJ1905004,rural
NJ1906001,urban
NJ1906002,urban
NJ1907001,rural
NJ1907002,rural
NJ1908001,rural
NJ1909001,urban
NJ1910002,urban
NJ1910003,urban
NJ1911001,urban
NJ1911002,urban
NJ1329001,urban
NJ1330002,urban
NJ1330003,urban
NJ1330004,urban
NJ1331001,urban
NJ1332314,rural
NJ1339001,urban
NJ1340001,urban
NJ1911003,rural
NJ1911004,rural
NJ1911005,urban
NJ1911006,urban
NJ1912001,urban
NJ1912300,urban
NJ1914002,rural
NJ1915001,urban
NJ1916001,urban
NJ1918003,urban
NJ1918004,urban
NJ1341001,rural
NJ1344001,urban
NJ1345001,urban
NJ1347001,urban
NJ1348001,urban
NJ1349001,urban
NJ1350001,urban
NJ1352003,urban
NJ1401001,urban
NJ1918013,rural
NJ1919001,urban
NJ1921001,rural
NJ1922001,rural
NJ1922004,rural
NJ1922005,urban
NJ1922006,urban
NJ1922008,urban
NJ1922010,rural
NJ1922011,urban
NJ1922012,urban
NJ1922013,urban
NJ1922015,urban
NJ1922017,urban
NJ1922021,urban
NJ1922022,urban
NJ1401002,urban
NJ1403001,urban
NJ1404001,urban
NJ1407001,urban
NJ1408001,urban
NJ1409001,urban
NJ1410001,urban
NJ1411001,urban
NJ1414003,urban
NJ1414008,urban
NJ1414011,urban
NJ1414013,urban
NJ1922026,urban
NJ1924002,rural
NJ1924004,rural
NJ2004001,urban
NJ2004002,urban
NJ2013001,urban
NJ2021001,urban
NJ2101001,urban
NJ2102001,urban
NJ2103001,urban
NJ2103002,urban
NJ2104001,rural
NJ2106304,rural
NJ2108001,urban
NJ2110001,rural
NJ1414014,urban
NJ1414016,rural
NJ1415001,urban
NJ1415002,urban
NJ1416001,urban
NJ1416004,urban
NJ1417001,urban
NJ2110003,rural
NJ2112001,urban
NJ2112002,rural
NJ2113002,rural
NJ2113003,rural
NJ2113301,urban
NJ2116002,rural
NJ2116003,rural
NJ2117002,urban
NJ2117003,urban
NJ2119001,urban
NJ2120001,rural
NJ2120002,rural
NJ2121001,urban
NJ2123003,rural
