,PWS_ID,PWS_Name,County_Name,Ownership,Primary_Source,Population,Number_of_Facilities,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
13,1090053,CHERRY MHP,Bucks,Mobile Home Park,Ground water,62,6,0.0,16.66666667,0.0,0.0,Private,42,Rural,15,0,15,1,0,0,1,1,35.99258803844302,-0.4078371353427416,-0.5329489969870967,-20.992588038443017
14,1090057,RICHLANDTOWN WATER DEPT,Bucks,Municipal,Ground water,1450,7,2.3121387280000003,11.56069364,2.89017341,5.780346821,Local government,469,Urban,41,3,44,0,1,1,0,1,17.355840396561224,1.0657258442315405,0.7660445672978449,26.644159603438776
15,1090058,RIEGELSVILLE WATER CO,Bucks,Auth Leases Back To Mun,Ground water,980,15,3.680981595,6.310254163,0.175284838,3.330411919,Local government,402,Rural,22,0,22,1,0,1,0,1,24.36312563361123,-0.06760582322791402,-0.06989982395183636,-2.3631256336112294
16,1090060,GREENTOP PARK INC,Bucks,Mobile Home Park,Ground water,120,7,1.9230769230000002,7.692307692000001,3.8461538460000004,1.9230769230000002,Private,51,Urban,4,1,5,0,1,0,1,1,23.139669688392754,-0.5461019201537826,-0.8443302751893975,-18.139669688392754
17,1090063,UPPER SOUTHAMPTON MUNI AUTH,Bucks,Authority,Surface water purchased,16000,15,2.386570485,5.26528686,0.175284838,1.8202656240000001,Local government,5100,Urban,82,3,85,0,1,1,0,0,14.32767483098341,3.4142251032584756,1.7482310350525556,70.67232516901659
18,1090064,SPRINGTOWN WATER AUTH,Bucks,Auth Leases Back To Mun,Ground water,600,10,4.915254237,7.457627119,0.0,1.694915254,Local government,196,Rural,3,0,3,1,0,1,1,1,36.413365055708155,-0.6416930729338693,-1.2248336581072223,-33.413365055708155
19,1090069,WARMINSTER TWP MUNI AUTH,Bucks,Authority,Surface water purchased,40000,65,3.0284911360000004,14.46082095,2.660767138,8.451672696000001,Local government,9700,Urban,3,0,3,0,1,1,0,0,14.630128545234074,-0.5504337161495767,-0.8571181075782692,-11.630128545234074
20,1090070,WARRINGTON TWP,Bucks,Municipal,Surface water purchased,21588,29,4.209994527,17.27360754,1.7555677180000002,5.43089294,Local government,6695,Urban,41,4,45,0,1,1,0,0,14.487823178135272,1.4580379389908242,0.9699066968922516,30.512176821864728
21,1090074,PA AMER WATER CO YARDLEY DIST,Bucks,Private Investor Owned,Surface water,34411,15,2.086127679,14.29753717,2.445706458,3.090665221,Private,12167,Urban,2,0,2,0,1,0,0,0,13.12141377970656,-0.5857756861187656,-0.9719995253128648,-11.12141377970656
22,1090078,AQUA PA BENSALEM,Bucks,Priv Investr Owned-(Pu),Surface water purchased,44543,11,4.201832748999999,29.12656499,7.273415264,7.321125972999999,Local government,14000,Urban,0,0,0,0,1,1,0,0,15.088699287322623,-0.6927635578069954,-1.8488752166407074,-15.088699287322623
23,1090079,BCWSA MAIN LOWER SOUTH,Bucks,Authority - (Purchases),Surface water purchased,52621,10,2.9745102169999997,13.57910259,4.661891721,3.263113545,Local government,15800,Urban,7,3,10,0,1,1,0,0,14.599039536180866,-0.2181204375612704,-0.24587460923722407,-4.599039536180866
24,1090081,DOYLESTOWN BORO WATER(DBWD),Bucks,Municipal,Ground water,8700,19,3.9609920539999997,8.620274499999999,1.5049361909999999,4.659282446000001,Local government,3069,Urban,10,1,11,0,1,1,0,1,16.7236942274437,-0.23746823818150373,-0.271091801787896,-5.723694227443701
25,1090082,QUAKERTOWN MUNI WATERWORKS,Bucks,Municipal,Ground water,12800,30,4.518503374,10.7646698,3.27131466,5.755469229,Local government,3551,Urban,5,0,5,0,1,1,0,1,16.693285658056414,-0.48600940270660414,-0.6912499355142867,-11.693285658056414
26,1090084,DELAWARE VALLEY COLLEGE,Bucks,Institutional Education,Ground water,1200,5,2.2405660380000003,11.55660377,5.660377358,2.7122641510000003,Public/Private,41,Urban,38,0,38,0,1,0,1,1,23.325426227544046,0.43830221156701626,0.37061010863400984,14.674573772455954
27,1090089,NORTHAMPTON BUCKS CNTY MUNI AUTH,Bucks,Authority,Surface water purchased,36750,54,2.043938406,8.411496213,0.534182675,1.642674424,Local government,10222,Urban,49,0,49,0,1,1,0,0,14.564194341638183,1.6370435186600363,1.0554197325600057,34.435805658361815
28,1090091,TRUMBAUERSVILLE MUNI WATERWORK,Bucks,Municipal,Ground water,1057,9,1.505016722,6.52173913,1.6722408030000002,3.344481605,Local government,392,Urban,18,0,18,0,1,1,0,1,17.286977102545585,0.02863185731650942,0.028252648930465845,0.7130228974544153
29,1090093,NESHAMINY MANOR,Bucks,Institutional Health,Ground water,2100,9,1.564380265,12.39470517,6.377858002000001,2.4067388690000002,Public/Private,18,Urban,48,0,48,0,1,0,1,1,23.653306370542374,0.7172136280996532,0.5599213943515436,24.346693629457626
30,1090097,OLDE COLONIAL GREEN PROPERTY ASSN,Bucks,Association - Co-Op,Ground water,900,6,2.620087336,3.493449782,1.310043668,1.310043668,Public/Private,309,Urban,35,0,35,0,1,0,0,1,14.843574724187501,0.9404723178558386,0.6951423635845724,20.1564252758125
31,1090098,PINE RUN COMM,Bucks,Institutional Health,Ground water,700,5,2.7707808560000005,3.526448363,1.259445844,1.259445844,Public/Private,320,Urban,96,0,96,0,1,0,0,1,14.808587587784087,3.7970899654246986,1.8727739421384944,81.19141241221591
32,1090099,DURHAM VILLAGE RESIDENCE ASSN,Bucks,Association - Co-Op,Ground water,160,6,4.62962963,12.96296296,0.9259259259999999,2.777777778,Local government,60,Urban,25,6,31,0,1,1,1,1,25.505436789492734,0.15021894903149988,0.1406946282479776,5.494563210507266
33,1090101,YORKSHIRE MEADOW CONDO ASSN,Bucks,Association - Co-Op,Ground water,90,4,1.351351351,8.108108108,0.0,1.351351351,Public/Private,72,Urban,36,3,39,0,1,0,1,1,23.39097496138398,0.4649196160832508,0.38986806017947273,15.609025038616021
34,1090102,THE HERMITAGE CONDO ASSN,Bucks,Association - Co-Op,Ground water,75,6,0.0,7.692307692000001,0.0,0.0,Public/Private,49,Urban,41,0,41,0,1,0,1,1,23.881463198678418,0.4995151851995893,0.41448409873069336,17.118536801321582
35,1090103,INGHAM MEWS CONDO ASSN,Bucks,Association - Co-Op,Ground water,97,6,1.176470588,8.235294117999999,0.0,2.352941176,Public/Private,64,Rural,93,0,93,1,0,0,1,1,34.30180088645683,1.1961795093647116,0.8366721123319747,58.69819911354317
36,1090104,BEDMINSTER MUNI AUTH,Bucks,Auth Leases Back To Mun,Ground water,3042,6,2.834645669,7.139107612,0.0,3.0971128610000003,Local government,1100,Urban,2,0,2,0,1,1,0,1,16.94963619221522,-0.6120894711133659,-1.0758107835847792,-14.94963619221522
37,1090106,DUBLIN ACRES,Bucks,Mobile Home Park,Ground water,175,4,5.0,16.66666667,0.0,15.0,Public/Private,54,Urban,5,0,5,0,1,0,1,1,22.68556519123459,-0.5429748107113367,-0.8353791056662576,-17.68556519123459
38,1090107,DUBLIN BORO,Bucks,Municipal,Ground water,2200,10,5.304621849,16.2289916,0.42016806700000003,14.33823529,Local government,350,Urban,1,0,1,0,1,1,0,1,16.78994824118205,-0.6525553292830621,-1.2958399055638745,-15.78994824118205
39,1090117,HILLTOWN TWP W AND S AUTH,Bucks,Auth Leases Back To Mun,Surface water purchased,5415,12,1.834862385,18.539034100000002,2.648433443,10.19560325,Local government,1248,Urban,16,0,16,0,1,1,0,0,15.128860297064564,0.0398919222845968,0.03916236179712142,0.8711397029354355
40,1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Municipal,Ground water,25,4,3.03030303,12.12121212,1.515151515,3.03030303,Local government,15,Rural,33,0,33,1,0,1,1,1,38.16049080592046,-0.09459726199872863,-0.09920074974720566,-5.16049080592046
41,1090122,UPPER MAKEFIELD TWP HERITAGE H,Bucks,Municipal,Ground water,1800,5,3.0195381880000003,12.5518058,1.006512729,3.6116045,Local government,596,Urban,2,1,3,0,1,1,0,1,17.2137549048755,-0.5731556299914062,-0.9281173474506792,-14.2137549048755
42,1090123,BUCKINGHAM TWP FIELDSTONE PL,Bucks,Municipal,Ground water,281,6,6.976744186,12.40310078,0.0,6.201550387999999,Local government,104,Urban,5,0,5,0,1,1,1,1,24.494943508876354,-0.5547523370361378,-0.8698042838512089,-19.494943508876354
43,1090125,MILFORD TWP WATER AUTH,Bucks,Authority,Ground water,4498,24,2.302357836,5.575589459,1.5117891819999998,2.496532594,Local government,1186,Urban,15,0,15,0,1,1,0,1,17.00721058924652,-0.08190782699039471,-0.08531925227272977,-2.007210589246519
44,1090127,WARWICK TWP W AND S AUTH,Bucks,Authority - (Purchases),Surface water purchased,11133,20,1.772027284,7.608466353,0.133605232,1.3079249,Local government,2939,Urban,1,1,2,0,1,1,0,0,14.589229274164673,-0.5974691704691463,-1.015673508462333,-12.589229274164673
45,1090128,DOYLESTOWN TWP MUNI AUTH(DTMA),Bucks,Authority,Surface water purchased,8655,52,2.0655449519999998,7.364389753999999,2.844048217,2.1785534909999997,Local government,2029,Urban,7,0,7,0,1,1,0,0,14.507030650808561,-0.3582596860716381,-0.44770817299912596,-7.507030650808561
46,1090129,BCWSA SOLEBURY,Bucks,Authority,Ground water,2100,7,0.936329588,8.426966292000001,0.561797753,1.872659176,Local government,474,Urban,5,0,5,0,1,1,0,1,17.563010992995622,-0.49665523920158683,-0.7158697603948201,-12.563010992995622
47,1090130,BCWSA NEW HOPE,Bucks,Authority,Surface water,3017,14,3.7037037039999996,7.843137255,0.0,2.614379085,Local government,3017,Urban,3,0,3,0,1,1,0,0,14.145410610610515,-0.5452622857381426,-0.8420783109367909,-11.145410610610515
48,1090131,RICHLAND TWP WATER AUTH,Bucks,Authority,Ground water,6800,18,3.422924901,12.03952569,1.636363636,5.9209486170000005,Local government,1922,Rural,84,0,84,1,0,1,0,1,24.95022652680007,1.6499696404910298,1.0614554064633264,59.049773473199934
49,1090133,BUCKINGHAM SPRINGS VILLAGE MHP,Bucks,Mobile Home Park,Ground water,1295,4,2.102102102,6.006006006000001,0.600600601,0.20020020000000002,Private,646,Urban,23,0,23,0,1,0,0,1,15.099356278000801,0.3624882669515351,0.3141277321741871,7.900643721999199
50,1090135,SCENIC VIEW APTS,Bucks,Apartments,Ground water,150,5,0.0,0.0,0.0,0.0,Private,50,Rural,3,0,3,1,0,0,1,1,33.9999856710343,-0.6372998341909021,-1.1995393963819352,-30.999985671034302
51,1090137,BUCKINGHAM TWP COLD SPRING SYS,Bucks,Municipal,Ground water,4760,8,4.649056604,12.70943396,0.7094339620000001,3.18490566,Local government,1783,Urban,1,0,1,0,1,1,0,1,16.768632821919578,-0.6524909040816496,-1.2953959685737204,-15.768632821919578
52,1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Municipal,Ground water,714,7,1.841473179,13.93114492,2.882305845,5.364291433,Local government,204,Rural,3,0,3,1,0,1,0,1,25.77217896094473,-0.61619846294673,-1.0937182055581718,-22.77217896094473
53,1090140,HULMEVILLE MUNI AUTH,Bucks,Authority - (Purchases),Surface water purchased,750,3,2.0657276999999996,12.48826291,4.2253521130000005,2.910798122,Local government,283,Urban,4,0,4,0,1,1,0,0,14.763229263420294,-0.504886837333762,-0.7355997772905097,-10.763229263420294
54,1090141,NORTH PENN WATER AUTH RIDGE RUN SYS,Bucks,Authority,Ground water purchased,588,8,4.87804878,5.691056911,0.81300813,4.06504065,Local government,196,Urban,0,0,0,0,1,1,1,1,24.778247747284166,-0.6971124721452677,-1.9742526263913154,-24.778247747284166
55,1090144,PLUMSTEAD TWP NORTHERN SYSTEM,Bucks,Municipal,Ground water,2605,12,2.400698385,6.110868616,0.48013967700000004,1.1348756000000002,Local government,1002,Urban,27,0,27,0,1,1,0,1,17.010877016457812,0.40753746052236167,0.3479882739035768,9.989122983542188
56,1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Municipal,Ground water,1050,4,4.597701149,10.72796935,0.38314176200000005,3.448275862,Local government,125,Urban,5,0,5,0,1,1,1,1,25.324648190034285,-0.559595709399327,-0.8845555955100827,-20.324648190034285
57,1090147,AQUA PA PEDDLERS VIEW,Bucks,Private Investor Owned,Ground water,600,4,0.9186351709999999,8.398950131,0.524934383,1.968503937,Private,214,Urban,0,0,0,0,1,0,0,1,15.52183452677263,-0.6930711979380734,-1.8562103351362067,-15.52183452677263
58,1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Municipal - (Purchases),Ground water purchased,1704,2,2.435530086,6.446991403999999,0.5730659029999999,0.429799427,Local government,600,Urban,2,0,2,0,1,1,0,1,17.020696268676904,-0.6124676705581852,-1.077461962603131,-15.020696268676904
59,1090153,PEDDLERS VILLAGE,Bucks,Private Investor Owned,Ground water,960,4,3.179190751,6.213872832000001,0.433526012,1.300578035,Private,76,Urban,6,0,6,0,1,0,1,1,22.553401249936208,-0.5111617291405439,-0.7509328730743924,-16.553401249936208
60,1090157,PLUMSTEAD TWP SUMMER HILL MEADOW,Bucks,Municipal,Ground water,1284,10,2.349869452,4.830287206,0.0,3.263707572,Local government,367,Urban,3,0,3,0,1,1,0,1,16.950731692745183,-0.5711544979736858,-0.921505656785182,-13.950731692745183
61,1090159,BUCKINGHAM TWP FURLONG SYS,Bucks,Municipal,Ground water,3100,18,2.100105005,5.985299265,0.630031502,0.21001050100000002,Local government,169,Urban,4,0,4,0,1,1,1,1,25.959886643363852,-0.5899620745913807,-0.9868042822859145,-21.959886643363852
62,1090160,BCWSA FOX RUN PRESERVE,Bucks,Authority,Ground water,220,3,0.906344411,8.459214502,0.6042296070000001,2.114803625,Local government,108,Rural,3,0,3,1,0,1,1,1,39.0224540998951,-0.6458352458712562,-1.2500165169617372,-36.0224540998951
63,1090163,PENNLAND FARM WATER SYSTEM,Bucks,Authority,Ground water,452,4,2.894736842,7.105263158,0.0,2.894736842,Local government,30,Urban,35,0,35,0,1,1,1,1,25.721859878185864,0.25154616693828946,0.2266081537341208,9.278140121814136
64,1090164,MILL CREEK RIDGE,Bucks,Municipal,Ground water,99,4,2.631578947,5.263157895,0.0,0.0,Local government,73,Rural,21,0,21,1,0,1,1,1,37.52126552315225,-0.30797815340328366,-0.3696331919486113,-16.521265523152252
65,1150004,AVONWHEEL ESTATES,Chester,Mobile Home Park,Ground water,300,4,1.2048192770000001,37.75100402,3.614457831,31.72690763,Private,65,Urban,12,1,13,0,1,0,1,1,25.946833031801877,-0.3479957460393644,-0.4311363846043505,-12.946833031801877
66,1150005,AVONDALE BORO WATER,Chester,Municipal,Ground water,1108,4,1.316752012,37.746891,3.5113386980000003,31.74835406,Local government,329,Urban,4,0,4,0,1,1,0,1,19.293038842603625,-0.5510468732405026,-0.8588143457863135,-15.293038842603625
67,1150007,CHATHAM ACRES NURSING CENTER,Chester,Institutional Health,Ground water,120,3,0.0,38.88888889,5.555555556,33.33333333,Private,2,Rural,28,0,28,1,0,0,1,1,38.83221805958841,-0.19515284083748421,-0.21681455433846292,-10.832218059588413
68,1150011,MALVERN COURTS MHP,Chester,Mobile Home Park,Ground water,250,6,4.166666667,29.16666667,0.0,8.333333332999999,Private,108,Urban,4,0,4,0,1,0,1,1,24.001515422784752,-0.5807501243747435,-0.9538128993401164,-20.001515422784752
69,1150013,IMPERIAL MHP,Chester,Mobile Home Park,Ground water,151,9,4.444444444,10.0,3.333333333,2.222222222,Private,51,Urban,41,14,55,0,1,0,1,1,22.377663351402926,1.0151887417850762,0.737829467082468,32.62233664859707
70,1150015,TAYLORS MHP,Chester,Mobile Home Park,Ground water,50,6,4.838709677,37.09677419,20.96774194,6.451612902999999,Private,47,Urban,182,0,182,0,1,0,1,1,24.390374479606272,4.5040106148423975,2.087623417845663,157.60962552039373
71,1150017,MAPLEWOOD MHP,Chester,Mobile Home Park,Ground water,70,6,3.921568627,11.76470588,7.843137255,1.960784314,Private,31,Urban,12,0,12,0,1,0,1,1,22.70699480433132,-0.3284147516430874,-0.4004708249231273,-10.70699480433132
72,1150019,LONDONDERRY COURT MHP,Chester,Mobile Home Park,Surface water purchased,160,8,2.3809523809999997,10.71428571,0.0,8.333333332999999,Private,55,Rural,57,5,62,1,0,0,1,0,28.64283707076397,0.8129265407193575,0.6194153019495074,33.357162929236026
73,1150020,MT IDY MHP,Chester,Mobile Home Park,Ground water,80,5,0.0,6.52173913,0.0,2.173913043,Private,40,Urban,2,12,14,0,1,0,1,1,23.786127232125025,-0.28668991115573556,-0.3386799419588137,-9.786127232125025
74,1150021,ASHWOOD APARTMENTS,Chester,Apartments,Ground water,75,2,0.0,12.5,0.0,0.0,Private,75,Urban,3,0,3,0,1,0,1,1,24.277045841763663,-0.6108441763223147,-1.070089292410612,-21.277045841763663
75,1150026,DOWNINGTOWN MUNI WATER AUTH,Chester,Authority,Surface water,9900,7,4.668544194,31.04419411,13.388214900000001,7.614818024,Local government,3500,Urban,43,1,44,0,1,1,0,0,15.072035624349322,1.3296072055033246,0.9058670060086708,28.927964375650678
76,1150029,ST MARYS OF PROVIDENCE CENTER,Chester,Institutional Health,Ground water,75,7,3.125,3.125,0.0,3.125,Private,11,Rural,136,3,139,1,0,0,1,1,32.64733875466552,2.2763151040076015,1.3322010956710442,106.35266124533447
77,1150030,LOAGS CORNER MHP,Chester,Mobile Home Park,Ground water,130,4,2.631578947,5.263157895,0.0,2.631578947,Private,49,Rural,2,0,2,1,0,0,1,1,33.1540846427758,-0.6566884869396372,-1.3238949559917665,-31.1540846427758
78,1150035,AQUA PA UWCHLAN,Chester,Private Investor Owned,Surface water purchased,35518,25,2.1867752169999997,16.85284233,2.378473044,2.7334690210000003,Private,16600,Urban,0,0,0,0,1,0,0,0,13.214649475357566,-0.691206400149862,-1.8142009532321626,-13.214649475357566
79,1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Institutional Health,Ground water,300,4,2.2058823530000002,7.352941176,3.676470588,1.470588235,Private,19,Rural,8,1,9,1,0,0,1,1,33.625744235152496,-0.511851264573607,-0.7526124974989344,-24.625744235152496
80,1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Institutional Correctional,Ground water,140,4,0.0,0.0,0.0,0.0,Private,20,Rural,9,0,9,1,0,0,1,1,33.9999856710343,-0.5139514221715286,-0.7578662413364068,-24.999985671034302
81,1150044,TEL HAI RETIREMENT COMM,Chester,Institutional Health,Ground water,930,6,3.6363636360000005,3.939393939,0.9090909090000001,1.515151515,Private,1,Rural,8,1,9,1,0,0,1,1,32.46477793651182,-0.5050304383685418,-0.7358368745576207,-23.464777936511823
82,1150045,BRANDYWINE TERRACE MHP,Chester,Mobile Home Park,Ground water,90,3,2.857142857,2.857142857,0.0,2.857142857,Private,41,Urban,36,0,36,0,1,0,1,1,22.414309162576984,0.42209531037216486,0.3587430224907731,13.585690837423016
83,1150046,GREGORY COURT MHP,Chester,Mobile Home Park,Ground water,67,4,3.225806452,3.225806452,0.0,1.612903226,Private,37,Urban,3,0,3,0,1,0,1,1,22.30721707439157,-0.6027065196589825,-1.036118828659825,-19.30721707439157
84,1150047,KEYSTONE COURT MHP,Chester,Mobile Home Park,Ground water,116,3,3.03030303,4.545454545,1.515151515,1.515151515,Private,45,Urban,12,1,13,0,1,0,1,1,22.480034914970872,-0.2936843808916421,-0.34872776651733833,-9.480034914970872
85,1150049,HIDEAWAY MHP,Chester,Mobile Home Park,Ground water,95,4,4.0,16.0,12.0,4.0,Private,39,Urban,1,0,1,0,1,0,1,1,23.00838808919378,-0.666311858556293,-1.4029567539796235,-22.00838808919378
86,1150051,INDIAN RUN VILLAGE MHP,Chester,Mobile Home Park,Ground water,550,4,6.825938567000001,7.849829352,1.706484642,4.09556314,Private,243,Urban,23,0,23,0,1,0,0,1,14.061540092962328,0.439856391701207,0.3717385287483066,8.938459907037672
87,1150052,VALLEY VIEW MHP HONEYBROOK,Chester,Mobile Home Park,Ground water,429,13,3.433476395,3.862660944,0.858369099,1.716738197,Private,136,Urban,15,6,21,0,1,0,1,1,22.27976858117579,-0.039998762617404496,-0.040782426857285864,-1.2797685811757908
88,1150064,SHADY SIDE MHP,Chester,Mobile Home Park,Ground water,55,3,10.0,30.0,0.0,20.0,Private,16,Urban,26,1,27,0,1,0,1,1,21.87294480780143,0.1631919155733635,0.15205354671739474,5.1270551921985685
89,1150065,ECHO VALLEY MHP,Chester,Mobile Home Park,Ground water,60,4,0.0,50.0,0.0,0.0,Private,20,Urban,106,5,111,0,1,0,1,1,27.596125223463858,2.108998561065176,1.2635012449986212,83.40387477653614
90,1150066,OXFORD BORO WATER DEPT,Chester,Municipal,Surface water purchased,5280,10,6.589361311,34.16160501,6.607767347999999,25.17945886,Local government,1597,Urban,36,1,37,0,1,1,0,0,14.760826131735664,1.0433731552533871,0.7536210153736546,22.239173868264338
91,1150069,COVENTRY TERRACE MHP,Chester,Mobile Home Park,Ground water,250,8,0.943396226,11.32075472,3.459119497,2.51572327,Private,127,Urban,6,4,10,0,1,0,1,1,23.80801346632166,-0.40414518341544314,-0.5262728682954829,-13.808013466321661
92,1150070,HIGHLAND COURT MHP,Chester,Mobile Home Park,Ground water,54,4,6.25,6.25,0.0,6.25,Private,26,Rural,12,1,13,1,0,0,1,1,31.348505204515938,-0.40886613489092416,-0.5348255935400061,-18.348505204515938
93,1150077,PHOENIXVILLE MUNI WATERWRKS,Chester,Municipal,Surface water,16599,4,6.9036792060000005,21.7386169,6.2127207229999994,10.49430107,Local government,5776,Urban,4,1,5,0,1,1,0,0,14.0745455464385,-0.44614747224598456,-0.6061987259047571,-9.0745455464385
94,1150078,GARDENS AT POTTSTOWN,Chester,Institutional Health,Ground water,70,4,0.0,0.0,0.0,0.0,Private,1,Rural,14,0,14,1,0,0,1,1,33.9999856710343,-0.4111610788220507,-0.5390205923215872,-19.999985671034302
95,1150081,WARWICK LAND DIV INC MHP,Chester,Mobile Home Park,Ground water,40,7,0.0,0.0,0.0,0.0,Private,30,Rural,27,0,27,1,0,0,1,1,33.9999856710343,-0.14390618611340825,-0.1550772981625928,-6.9999856710343025
96,1150082,LINCOLN CREST MHP,Chester,Mobile Home Park,Ground water,242,9,5.303030303,21.96969697,10.60606061,5.303030303,Private,145,Urban,6,4,10,0,1,0,1,1,22.985832548895434,-0.3935324661612389,-0.5073759101718428,-12.985832548895434
97,1150083,STONY RUN MHP,Chester,Mobile Home Park,Ground water,200,3,3.896103896,10.38961039,5.194805195,1.298701299,Private,79,Urban,16,1,17,0,1,0,1,1,22.60999136303615,-0.17280512540031664,-0.18939445098291627,-5.609991363036151
98,1150089,AQUA PA SPRING RUN,Chester,Private Investor Owned,Surface water purchased,7303,24,2.372960737,14.33143392,3.2237920539999996,2.084146437,Private,1400,Rural,0,1,1,1,0,0,0,0,19.090646048927724,-0.6586750031884452,-1.3402073508238406,-18.090646048927724
99,1150094,MISA CORP APPLEVILLE MHP,Chester,Mobile Home Park,Ground water,461,16,4.347826087,9.510869565,0.8152173909999999,3.668478261,Private,230,Urban,0,0,0,0,1,0,0,1,14.728445564317598,-0.6924942359800749,-1.842594255125495,-14.728445564317598
100,1150098,AQUA PA WEST CHESTER,Chester,Private Investor Owned,Surface water,33918,16,4.587833018,19.31563799,6.351627266,7.264273942000001,Private,9715,Urban,0,0,0,0,1,0,0,0,12.811522217373865,-0.6908135664996496,-1.8060283506338222,-12.811522217373865
101,1150102,UMH OXFORD VILLAGE MHP,Chester,Mobile Home Park,Ground water,480,5,5.2173913039999995,15.2173913,1.3043478259999999,9.130434783,Private,224,Urban,4,1,5,0,1,0,0,1,14.805710286800034,-0.4586726799852434,-0.6318253882073959,-9.805710286800034
