,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Population_Within,Percent_Below_Poverty_Line,Percent_Minority,Percent_AfricanAmerican,Percent_Hispanic,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
33,1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,6,0.0,16.66666667,0.0,0.0,Public/Private,72,Urban,3,39,0,1,0,1,1,0.6144252515572175,1.6599882461712865,0.9668997256469538,2.3855747484427825
34,1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,1,0.0,0.0,0.0,0.0,Public/Private,49,Urban,0,41,0,1,0,1,1,0.5167053555072212,-0.4160013455858467,-0.7544895987300455,-0.5167053555072212
35,1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,8,0.0,12.5,0.0,0.0,Public/Private,64,Rural,0,93,1,0,0,1,1,0.8223142416442233,-0.4445902448609821,-0.8613282639786861,-0.8223142416442233
36,1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,336,2.976190476,7.738095238,0.0,3.571428571,Local government,1100,Urban,0,2,0,1,1,0,1,0.42586998510709795,-0.4018938621082071,-0.7103150974810586,-0.42586998510709795
37,1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,44,4.545454545,15.90909091,0.0,13.63636364,Public/Private,54,Urban,0,5,0,1,0,1,1,0.5697979720561772,-0.4226485307647663,-0.7769530501430011,-0.5697979720561772
38,1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,1907,5.24383849,16.25589932,0.419507079,14.42055585,Local government,350,Urban,0,1,0,1,1,0,1,0.44987419080516544,-0.40602316595382903,-0.7228030737182866,-0.44987419080516544
39,1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,14,2550,1.8039215690000001,17.52941176,2.5098039219999997,9.37254902,Local government,1248,Urban,0,16,0,1,1,0,0,1.0749051177198368,-0.45770474868424427,-0.922512198731864,-1.0749051177198368
40,1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,19,5.263157895,10.52631579,0.0,5.263157895,Local government,15,Rural,0,33,1,0,1,1,1,0.7505134491090247,-0.43956484916418853,-0.8403396413844813,-0.7505134491090247
41,1090122,TWP OF UPPER MAKEFIELD,Bucks,Ground water,1800,5,187,3.20855615,12.8342246,1.069518717,3.7433155080000002,Local government,596,Urban,1,3,0,1,1,0,1,0.4474859929856624,0.5008300752002147,0.39228608585774993,0.5525140070143376
42,1090123,BUCKINGHAM TWP FIELDSTONE,Bucks,Ground water,281,6,68,7.352941176,13.23529412,0.0,5.882352941000001,Local government,104,Urban,0,5,0,1,1,1,1,0.5354591848988136,-0.41846293913266536,-0.7626713275520927,-0.5354591848988136
43,1090125,MILFORD TWP WATER AUTHORITY,Bucks,Ground water,4498,24,3823,2.014125033,6.094690034,1.621763013,2.851164007,Local government,1186,Urban,0,15,0,1,1,0,1,0.4246850592841689,-0.4016813876348114,-0.7096815854740913,-0.4246850592841689
44,1090127,WARWICK TWP WATER & SEWER AUTH,Bucks,Surface water purchased,11133,21,14408,1.78373126,7.599944475,0.131871183,1.318711827,Local government,2939,Urban,1,2,0,1,1,0,0,0.9698020625527203,0.014103951345428379,0.013975142956269856,0.03019793744727972
45,1090128,DTMA MAIN SYSTEM,Bucks,Surface water purchased,8655,52,17106,2.069449316,7.3892201570000005,2.811878873,2.192213259,Local government,2029,Urban,0,7,0,1,1,0,0,0.9635814642865868,-0.45263722614911517,-0.8976188087639951,-0.9635814642865868
46,1090129,BCWSA SOLEBURY,Bucks,Ground water,2100,7,109,0.917431193,8.256880734,0.917431193,1.834862385,Local government,474,Urban,0,5,0,1,1,0,1,0.4414712299251794,-0.40461453687903676,-0.7185047553473004,-0.4414712299251794
47,1090130,BCWSA NEW HOPE,Bucks,Surface water,3017,14,271,3.6900369,7.749077491,0.0,2.58302583,Local government,3017,Urban,0,3,0,1,1,0,0,0.9441828446414998,-0.4516517932819275,-0.8929749299448212,-0.9441828446414998
48,1090131,RICHLAND TWP WATER AUTHORITY,Bucks,Ground water,6800,18,13803,3.368832862,11.99739187,1.71701804,5.933492719,Local government,1922,Rural,0,84,1,0,1,0,1,0.6185053587561555,-0.4279643776555765,-0.7958222765089371,-0.6185053587561555
49,1090133,VILLAGE OF BUCKINGHAM SPRINGS,Bucks,Ground water,1295,4,103,1.9417475730000002,5.825242717999999,0.970873786,0.0,Private,646,Urban,0,23,0,1,0,0,1,0.42085175947149994,-0.40098817509187323,-0.707620694879592,-0.42085175947149994
50,1090135,SCENIC VIEW APARTMENTS,Bucks,Ground water,150,5,20,5.0,5.0,0.0,5.0,Private,50,Rural,0,3,1,0,0,1,1,0.7061946160896395,-0.43605635852557517,-0.8263387962355198,-0.7061946160896395
51,1090137,BUCKINGHAM TWP COLD SPRING,Bucks,Ground water,4760,8,3833,4.513435951,12.966344900000001,0.756587529,3.026350117,Local government,1783,Urban,0,1,0,1,1,0,1,0.43949734888438086,-0.40427801393131074,-0.7174838344088488,-0.43949734888438086
52,1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Ground water,714,7,157,1.910828025,10.82802548,1.910828025,4.458598726,Local government,204,Rural,0,3,1,0,1,0,1,0.6244145126143418,-0.4285652962918508,-0.7980106833883996,-0.6244145126143418
53,1090140,HULMEVILLE MUNICIPAL AUTHORITY,Bucks,Surface water purchased,750,3,1161,2.067183463,12.48923342,4.220499568999999,2.928509905,Local government,283,Urban,0,4,0,1,1,0,0,1.0160668948826856,-0.45514359177948954,-0.9097106615572687,-1.0160668948826856
54,1090141,NORTH PENN WATER AUTH E ROCKH,Bucks,Ground water purchased,588,8,192,4.6875,5.729166667,0.520833333,4.6875,Local government,196,Urban,0,0,0,1,1,1,1,0.5152823769970011,-0.41580909699527313,-0.7538570824619494,-0.5152823769970011
55,1090144,PLUMSTEAD NORTHERN SYSTEM,Bucks,Ground water,2605,12,790,2.405063291,5.696202532,0.253164557,1.898734177,Local government,1002,Urban,0,27,0,1,1,0,1,0.42048055711887394,-0.40092056827148237,-0.7074201903944259,-0.42048055711887394
56,1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Ground water,1050,4,127,3.937007874,11.81102362,0.787401575,3.1496062989999998,Local government,125,Urban,0,5,0,1,1,1,1,0.5550582668767138,-0.420900149838992,-0.7709287876760531,-0.5550582668767138
57,1090147,AQUA PA PEDDLERS VIEW,Bucks,Ground water,600,4,134,0.746268657,8.955223881,0.746268657,1.4925373130000001,Private,214,Urban,0,0,0,1,0,0,1,0.44255795452749375,-0.40479888474667836,-0.7190649836423769,-0.44255795452749375
58,1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Ground water purchased,1704,2,254,2.362204724,6.2992125979999996,0.787401575,0.39370078700000005,Local government,600,Urban,0,2,0,1,1,0,1,0.4233934959385407,-0.40144882369275386,-0.7089891642936774,-0.4233934959385407
59,1090150,MEADOW FARMS APTS,Bucks,Ground water,90,6,1,0.0,0.0,0.0,0.0,Private,39,Urban,0,3,0,1,0,1,1,0.5167053555072212,-0.4160013455858467,-0.7544895987300455,-0.5167053555072212
60,1090153,PEDDLERS VILLAGE,Bucks,Ground water,960,4,121,3.305785124,5.7851239670000005,0.0,1.652892562,Private,76,Urban,0,6,0,1,0,1,1,0.5224256251456901,-0.4167662369965857,-0.757015343707983,-0.5224256251456901
61,1090157,PLUMSTEAD TWP SUMMER HILL MEAD,Bucks,Ground water,1284,10,155,2.580645161,5.161290323,0.0,3.225806452,Local government,367,Urban,0,3,0,1,1,0,1,0.41706010174177605,-0.40029357241987773,-0.7055647773914118,-0.41706010174177605
62,1090159,BUCKINGHAM TWP FURLONG,Bucks,Ground water,3100,18,372,2.150537634,5.913978495,0.537634409,0.268817204,Local government,169,Urban,0,4,0,1,1,1,1,0.5361036662525164,-0.4185452210289585,-0.7629475163818374,-0.5361036662525164
63,1090160,BCWSA FOX RUN PRESERVE,Bucks,Ground water,220,3,134,0.746268657,8.208955224,0.746268657,2.23880597,Local government,108,Rural,0,3,1,0,1,1,1,0.783507929717215,-0.4419671491077608,-0.850228178082632,-0.783507929717215
64,1090163,PENNLAND FARMS,Bucks,Ground water,452,4,42,2.3809523809999997,7.142857143,0.0,2.3809523809999997,Local government,30,Urban,0,35,0,1,1,1,1,0.5411388181552965,-0.41918296153671447,-0.7650942290086159,-0.5411388181552965
65,1090164,MILL CREEK RIDGE,Bucks,Ground water,99,4,73,2.7397260269999997,5.479452055,0.0,0.0,Local government,73,Rural,0,21,1,0,1,1,1,0.7393688555080349,-0.4387144521037999,-0.836899374526079,-0.7393688555080349
66,1150004,AVONWHEEL ESTATE MHP,Chester,Ground water,300,4,20,0.0,40.0,5.0,30.0,Private,65,Urban,1,13,0,1,0,1,1,0.783042954286516,0.12244639911903099,0.11375641666601394,0.21695704571348395
67,1150005,BOROUGH OF AVONDALE,Chester,Ground water,1108,4,282,1.418439716,37.94326241,3.5460992910000004,31.91489362,Local government,329,Urban,0,4,0,1,1,0,1,0.5965696606334616,-0.4256533203530004,-0.7875130937752048,-0.5965696606334616
68,1150007,TWIN PINES HEALTH CARE CENTER,Chester,Ground water,120,3,6,0.0,33.33333333,0.0,33.33333333,Private,2,Rural,0,28,1,0,0,1,1,1.0211050596067983,-0.4553726905427983,-0.9108368708446903,-1.0211050596067983
69,1150011,MALVERN COURTS MHP,Chester,Ground water,250,6,14,0.0,28.57142857,0.0,7.142857143,Private,108,Urban,0,4,0,1,0,1,1,0.6953476312454706,-0.43514347563518047,-0.8227767664851667,-0.6953476312454706
70,1150013,IMPERIAL MOBILE HOME PARK,Chester,Ground water,151,9,9,0.0,11.11111111,0.0,0.0,Private,51,Urban,14,55,0,1,0,1,1,0.5799541915531756,9.806975802931875,2.8963391869363355,13.420045808446824
71,1150015,TAYLORS MOBILE HOME PARK,Chester,Ground water,50,6,47,4.255319149,36.17021277,21.27659574,6.382978723,Private,47,Urban,0,182,0,1,0,1,1,0.7063872500892503,-0.43607236838359426,-0.8264015552148052,-0.7063872500892503
72,1150017,MAPLEWOOD MOBILE HOME PARK,Chester,Ground water,70,6,6,0.0,16.66666667,0.0,0.0,Private,31,Urban,0,12,0,1,0,1,1,0.6144252515572175,-0.4275442202771455,-0.7942990892295241,-0.6144252515572175
73,1150019,LONDONDERRY COURT MHP,Chester,Surface water purchased,160,8,3,0.0,0.0,0.0,0.0,Private,55,Rural,5,62,1,0,0,1,0,1.6179076217931765,0.9897072724010654,0.6693625441134712,3.3820923782068233
74,1150020,MT IDY MOBILE HOME PARK,Chester,Ground water,80,6,9,0.0,11.11111111,0.0,0.0,Private,40,Urban,12,14,0,1,0,1,1,0.5799541915531756,8.34543447246053,2.6430343635397127,11.420045808446824
75,1150021,ASHWOOD APARTMENTS,Chester,Ground water,75,2,2,0.0,0.0,0.0,0.0,Private,75,Urban,0,3,0,1,0,1,1,0.5167053555072212,-0.4160013455858467,-0.7544895987300455,-0.5167053555072212
76,1150026,DOWNINGTOWN WATER AUTHORITY,Chester,Surface water,9900,7,8957,4.689070001,31.11532879,13.48665848,7.692307692000001,Local government,3500,Urban,1,44,0,1,1,0,0,1.1859738633422363,-0.07243730189762103,-0.07620342159992365,-0.1859738633422363
77,1150029,ST MARY OF PROVIDENCE CENTER,Chester,Ground water,75,7,14,0.0,7.142857143,0.0,0.0,Private,11,Rural,3,139,1,0,0,1,1,0.7777821935564302,1.261596423867696,0.7980457128446781,2.22221780644357
78,1150030,LOAGS CORNER MOBILE HOME PARK,Chester,Ground water,130,4,3,0.0,0.0,0.0,0.0,Private,49,Rural,0,2,1,0,0,1,1,0.722134746360665,-0.437357990708902,-0.8314743797855372,-0.722134746360665
79,1150035,AQUA PA UWCHLAN,Chester,Surface water purchased,35518,25,37115,2.276707531,17.56163276,2.565000674,2.5245857469999997,Private,16600,Urban,0,0,0,1,0,0,0,1.0599278872254083,-0.4570757996787091,-0.919324637964699,-1.0599278872254083
80,1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Ground water,300,4,216,2.314814815,7.87037037,4.166666667,1.388888889,Private,19,Rural,1,9,1,0,0,1,1,0.7571914782989736,0.14111551532458014,0.12977372534698087,0.2428085217010264
81,1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Ground water,140,4,11,0.0,9.090909091,0.0,0.0,Private,20,Rural,0,9,1,0,0,1,1,0.79368953940363,-0.4426755932416026,-0.8531940402796703,-0.79368953940363
82,1150044,TEL HAI RETIREMENT COMMUNITY,Chester,Ground water,930,6,22,4.545454545,4.545454545,0.0,0.0,Private,1,Rural,1,9,1,0,0,1,1,0.7076290612504424,0.18021449463905936,0.1623589135660951,0.29237093874955755
83,1150045,BRANDYWINE TERRACE MHP,Chester,Ground water,90,3,2,0.0,0.0,0.0,0.0,Private,41,Urban,0,36,0,1,0,1,1,0.5167053555072212,-0.4160013455858467,-0.7544895987300455,-0.5167053555072212
84,1150046,UMH GREGORY COURTS MHP,Chester,Ground water,67,4,3,0.0,0.0,0.0,0.0,Private,37,Urban,0,3,0,1,0,1,1,0.5167053555072212,-0.4160013455858467,-0.7544895987300455,-0.5167053555072212
85,1150047,KEYSTONE COURT,Chester,Ground water,116,3,5,0.0,0.0,0.0,0.0,Private,45,Urban,1,13,0,1,0,1,1,0.5167053555072212,0.3891022616285223,0.3184826581381152,0.4832946444927788
86,1150049,HIDEAWAY MOBILE HOME PARK,Chester,Ground water,95,4,9,0.0,22.22222222,11.11111111,0.0,Private,39,Urban,0,1,0,1,0,1,1,0.6509451870687972,-0.43115755543044193,-0.8075885685406174,-0.6509451870687972
87,1150051,INDIAN RUN VILLAGE MHP,Chester,Ground water,550,4,34,5.882352941000001,8.823529412000001,2.9411764710000003,2.9411764710000003,Private,243,Urban,0,23,0,1,0,0,1,0.4094831265256538,-0.3988782383078905,-0.7014033632328734,-0.4094831265256538
88,1150052,UMH VALLEY VIEW HONEYBROOK MHP,Chester,Ground water,429,13,12,0.0,0.0,0.0,0.0,Private,136,Urban,6,21,0,1,0,1,1,0.5167053555072212,4.414620297700368,1.8162847895575194,5.483294644492779
89,1150064,SHADYSIDE MHP,Chester,Ground water,55,3,2,0.0,50.0,0.0,0.0,Private,16,Urban,1,27,0,1,0,1,1,0.8688028602378146,0.06757314185049382,0.06477979322918283,0.1311971397621854
90,1150065,ECHO VALLEY MHP,Chester,Ground water,60,4,2,0.0,50.0,0.0,0.0,Private,20,Urban,5,111,0,1,0,1,1,0.8688028602378146,2.1277748192035317,1.1452710902085945,4.131197139762185
91,1150066,OXFORD BOROUGH,Chester,Surface water purchased,5280,10,4472,6.842576029,35.66636852,6.708407871,26.52057245,Local government,1597,Urban,1,37,0,1,1,0,0,1.2042631441158882,-0.0784599938724301,-0.08291283339637595,-0.2042631441158882
92,1150069,COVENTRY TERRACE,Chester,Ground water,250,8,29,0.0,10.34482759,3.448275862,3.448275862,Private,127,Urban,4,10,0,1,0,1,1,0.575353846207269,2.5195235076739886,1.2778950231755524,3.424646153792731
93,1150070,HIGHLAND COURT,Chester,Ground water,54,4,2,0.0,0.0,0.0,0.0,Private,26,Rural,1,13,1,0,0,1,1,0.722134746360665,0.16828796790623257,0.1525517314533466,0.277865253639335
94,1150077,PHOENIXVILLE WATER DEPT,Chester,Surface water,16599,4,16237,7.070271602,22.22701238,6.374330232999999,10.70394777,Local government,5776,Urban,1,5,0,1,1,0,0,1.043741164439518,-0.019125949022062834,-0.01937193441360869,-0.04374116443951803
95,1150078,GARDENS AT POTTSTOWN,Chester,Ground water,70,4,1,0.0,0.0,0.0,0.0,Private,1,Rural,0,14,1,0,0,1,1,0.722134746360665,-0.437357990708902,-0.8314743797855372,-0.722134746360665
96,1150081,WARWICK MOBILE HOME PARK,Chester,Ground water,40,7,3,0.0,0.0,0.0,0.0,Private,30,Rural,0,27,1,0,0,1,1,0.722134746360665,-0.437357990708902,-0.8314743797855372,-0.722134746360665
97,1150082,LINCOLN CREST MHP,Chester,Ground water,242,9,17,5.882352941000001,23.52941176,11.76470588,5.882352941000001,Private,145,Urban,4,10,0,1,0,1,1,0.60462987602266,2.3951597160220635,1.2366848766013903,3.39537012397734
98,1150083,CREEKVIEW MHP,Chester,Ground water,200,3,6,0.0,16.66666667,0.0,0.0,Private,79,Urban,1,17,0,1,0,1,1,0.6144252515572175,0.26829993520566514,0.2315400232245043,0.3855747484427825
99,1150089,AQUA PA SPRING RUN,Chester,Surface water purchased,7303,24,13615,2.453176643,14.13881748,3.1582813069999998,2.210796915,Private,1400,Rural,1,1,1,0,0,0,0,1.4258172320241707,-0.14009369990907153,-0.15554817418606673,-0.42581723202417066
100,1150094,APPLEVILLE MOBILE HOME PARK,Chester,Ground water,461,17,75,4.0,9.333333332999999,1.333333333,4.0,Private,230,Urban,0,0,0,1,0,0,1,0.42333347645048613,-0.40143799169684663,-0.7089569389303765,-0.42333347645048613
101,1150098,AQUA PA WEST CHESTER,Chester,Surface water,33918,16,37558,4.664785132,19.90521327,6.667021673,7.550987806,Private,9715,Urban,0,0,0,1,0,0,0,1.0482033658397165,-0.4565727735438603,-0.9167961567413758,-1.0482033658397165
102,1150102,UMH OXFORD VILLAGE MHP,Chester,Ground water,480,5,52,5.769230769,15.38461538,1.9230769230000002,9.615384615,Private,224,Urban,1,5,0,1,0,0,1,0.4391165487001546,0.5163009548605495,0.4020747248249044,0.5608834512998454
103,1150105,WEST GROVE BOROUGH,Chester,Ground water,2873,11,2838,1.973220578,44.397463,7.25863284,34.56659619,Local government,884,Urban,0,66,0,1,1,0,1,0.6327220788258712,-0.4293952789787028,-0.8010527436457546,-0.6327220788258712
104,1150106,PA AMERICAN COATESVILLE,Chester,Surface water,30299,15,29251,6.071587296000001,45.69758299,27.15462719,13.15510581,Local government,11004,Urban,1,2,0,1,1,0,0,1.3519873124132296,-0.12161614128269609,-0.1329572624541597,-0.35198731241322956
105,1150108,KENNETT SQUARE MUN WATER WORKS,Chester,Surface water purchased,6328,8,6364,6.128221245,55.86109365,4.981143935,48.52294155,Local government,1800,Urban,0,15,0,1,1,0,0,1.501346261294177,-0.4709250040664545,-0.997635846714644,-1.501346261294177
106,1150109,BOROUGH OF ATGLEN,Chester,Surface water purchased,1406,11,289,3.460207612,15.91695502,6.920415225,6.574394464,Local government,406,Urban,1,60,0,1,1,0,0,1.0313481439725696,-0.013855172404728342,-0.01398347236103245,-0.031348143972569575
107,1150126,AQUA PA FRANKLIN,Chester,Ground water,265,3,166,2.4096385540000003,7.2289156629999995,0.0,4.8192771080000005,Private,88,Urban,0,0,0,1,0,1,1,0.5374317950102971,-0.4187143150832578,-0.7635156597264803,-0.5374317950102971
