,PWS_ID,PWS_Name,County_Name,Primary_Source,Population,Number_of_Facilities,Percent_Minority,Percent_Below_Poverty_Line,Owner_Type,Service_Connections_Count,Urban_Rural,Violations_Not_HealthBased,Violations_Yes_HealthBased,All_Violations,Rural,Urban,Public,ConnectionsLess200,GroundwaterOrCombined,Predictions,Std_Pearson_Residuals,Std_Deviance_Residuals,Residuals
20,1090069,WARMINSTER MUNICIPAL AUTHORITY,Bucks,Surface water purchased,40000,65,14.5,6.0,Local government,9700,Urban,3,0,3,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
21,1090070,WARRINGTON TWP WATER&SEW DEPT,Bucks,Surface water purchased,21588,29,14.5,6.0,Local government,6695,Urban,41,4,45,0,1,1,0,0,1.4088471509431233,0.8594583879317784,0.6015318696812995,2.5911528490568765
22,1090074,PA AMERICAN WATER CO YARDLEY,Bucks,Surface water,34411,15,14.5,6.0,Private,12167,Urban,2,0,2,0,1,0,0,0,1.4995157937057035,-0.4695052002861639,-0.9954657540431242,-1.4995157937057035
23,1090078,AQUA PA BENSALEM,Bucks,Surface water purchased,44543,11,14.5,6.0,Local government,14000,Urban,0,0,0,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
24,1090079,BCWSA MAIN LOWER SOUTH,Bucks,Surface water purchased,52621,10,14.5,6.0,Local government,15800,Urban,7,3,10,0,1,1,0,0,1.4088471509431233,0.5277688126739535,0.41035894330522743,1.5911528490568767
25,1090081,DOYLESTOWN BORO WATER DEPT,Bucks,Ground water,8700,19,14.5,6.0,Local government,3069,Urban,10,1,11,0,1,1,0,1,0.5066915130098179,0.4027634466440434,0.3276448381824535,0.49330848699018215
26,1090082,QUAKERTOWN BORO,Bucks,Ground water,12800,30,14.5,6.0,Local government,3551,Urban,5,0,5,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
27,1090084,DELAWARE VALLEY UNIV,Bucks,Ground water,1200,5,14.5,6.0,Public/Private,41,Urban,38,0,38,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
28,1090089,NORTHAMPTON BUCKS CO MUN AUTH,Bucks,Surface water purchased,36750,54,14.5,6.0,Local government,10222,Urban,49,0,49,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
29,1090091,TRUMBAUERSVILLE MUN WATERWORKS,Bucks,Ground water,1057,9,14.5,6.0,Local government,392,Urban,18,0,18,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
30,1090093,NESHAMINY MANOR CENTER,Bucks,Ground water,2100,9,14.5,6.0,Public/Private,18,Urban,48,0,48,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
31,1090097,OLDE COLONIAL GREENE,Bucks,Ground water,900,6,14.5,6.0,Public/Private,309,Urban,35,0,35,0,1,0,0,1,0.5393004669003546,-0.4179802193952456,-0.7632639156920635,-0.5393004669003546
32,1090098,DOYLESTOWN HOSP T/A PINE RUN,Bucks,Ground water,700,5,14.5,6.0,Public/Private,320,Urban,96,0,96,0,1,0,0,1,0.5393004669003546,-0.4179802193952456,-0.7632639156920635,-0.5393004669003546
33,1090099,DURHAM VILLAGE RES ASSOC,Bucks,Ground water,160,6,14.5,6.0,Local government,60,Urban,25,6,31,0,1,1,1,1,0.7501793968560825,3.0680929152606016,1.4500540251708656,5.249820603143918
34,1090101,YORKSHIRE MEADOWS CONDO ASSOC,Bucks,Ground water,90,4,14.5,6.0,Public/Private,72,Urban,36,3,39,0,1,0,1,1,0.7984584083129742,1.2182999918208883,0.777597973193825,2.201541591687026
35,1090102,HERMITAGE CONDOMINIUM ASSN,Bucks,Ground water,75,6,14.5,6.0,Public/Private,49,Urban,41,0,41,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
36,1090103,INGHAM MEWS CONDOMINUM ASSOC,Bucks,Ground water,97,6,14.5,6.0,Public/Private,64,Urban,93,0,93,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
37,1090104,BEDMINSTER MUN AUTH,Bucks,Ground water,3042,6,14.5,6.0,Local government,1100,Urban,2,0,2,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
38,1090106,DUBLIN ACRES HOMEOWNERS ASSOC,Bucks,Ground water,175,4,14.5,6.0,Public/Private,54,Urban,5,0,5,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
39,1090107,BOROUGH OF DUBLIN,Bucks,Ground water,2200,10,14.5,6.0,Local government,350,Urban,1,0,1,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
40,1090117,HILLTOWN TWP WATER&SEWER AUTH,Bucks,Surface water purchased,5415,12,14.5,6.0,Local government,1248,Urban,16,0,16,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
41,1090121,UPPER MAKEFIELD ENCLAVE,Bucks,Ground water,25,4,14.5,6.0,Local government,15,Urban,33,0,33,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
42,1090122,TWP OF UPPER MAKEFIELD,Bucks,Ground water,1800,5,14.5,6.0,Local government,596,Urban,2,1,3,0,1,1,0,1,0.5066915130098179,0.4027634466440434,0.3276448381824535,0.49330848699018215
43,1090123,BUCKINGHAM TWP FIELDSTONE,Bucks,Ground water,281,6,14.5,6.0,Local government,104,Urban,5,0,5,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
44,1090125,MILFORD TWP WATER AUTHORITY,Bucks,Ground water,4498,24,14.5,6.0,Local government,1186,Urban,15,0,15,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
45,1090127,WARWICK TWP WATER & SEWER AUTH,Bucks,Surface water purchased,11133,20,14.5,6.0,Local government,2939,Urban,1,1,2,0,1,1,0,0,1.4088471509431233,-0.1356103378416964,-0.15005542222459056,-0.4088471509431233
46,1090128,DTMA MAIN SYSTEM,Bucks,Surface water purchased,8655,52,14.5,6.0,Local government,2029,Urban,7,0,7,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
47,1090129,BCWSA SOLEBURY,Bucks,Ground water,2100,7,14.5,6.0,Local government,474,Urban,5,0,5,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
48,1090130,BCWSA NEW HOPE,Bucks,Surface water,3017,14,14.5,6.0,Local government,3017,Urban,3,0,3,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
49,1090131,RICHLAND TWP WATER AUTHORITY,Bucks,Ground water,6800,18,14.5,6.0,Local government,1922,Urban,84,0,84,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
50,1090133,VILLAGE OF BUCKINGHAM SPRINGS,Bucks,Ground water,1295,4,14.5,6.0,Private,646,Urban,23,0,23,0,1,0,0,1,0.5393004669003546,-0.4179802193952456,-0.7632639156920635,-0.5393004669003546
51,1090135,SCENIC VIEW APARTMENTS,Bucks,Ground water,150,5,14.5,6.0,Private,50,Urban,3,0,3,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
52,1090137,BUCKINGHAM TWP COLD SPRING,Bucks,Ground water,4760,8,14.5,6.0,Local government,1783,Urban,1,0,1,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
53,1090138,PLUMSTEAD TWP DURHAM RIDGE,Bucks,Ground water,714,7,14.5,6.0,Local government,204,Urban,3,0,3,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
54,1090140,HULMEVILLE MUNICIPAL AUTHORITY,Bucks,Surface water purchased,750,3,14.5,6.0,Local government,283,Urban,4,0,4,0,1,1,0,0,1.4088471509431233,-0.46729991309952135,-0.9816224752884327,-1.4088471509431233
55,1090141,NORTH PENN WATER AUTH E ROCKH,Bucks,Ground water purchased,588,8,14.5,6.0,Local government,196,Urban,0,0,0,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
56,1090144,PLUMSTEAD NORTHERN SYSTEM,Bucks,Ground water,2605,12,14.5,6.0,Local government,1002,Urban,27,0,27,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
57,1090145,BUCKINGHAM TWP BUCK VILLAGE,Bucks,Ground water,1050,4,14.5,6.0,Local government,125,Urban,5,0,5,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
58,1090147,AQUA PA PEDDLERS VIEW,Bucks,Ground water,600,4,14.5,6.0,Private,214,Urban,0,0,0,0,1,0,0,1,0.5393004669003546,-0.4179802193952456,-0.7632639156920635,-0.5393004669003546
59,1090148,PLUMSTEAD TWP PATRIOTS RIDGE,Bucks,Ground water purchased,1704,2,14.5,6.0,Local government,600,Urban,2,0,2,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
60,1090150,MEADOW FARMS APTS,Bucks,Ground water,90,6,14.5,6.0,Private,39,Urban,3,0,3,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
61,1090153,PEDDLERS VILLAGE,Bucks,Ground water,960,4,14.5,6.0,Private,76,Urban,6,0,6,0,1,0,1,1,0.7984584083129742,-0.44185486932890305,-0.8532112301934085,-0.7984584083129742
62,1090157,PLUMSTEAD TWP SUMMER HILL MEAD,Bucks,Ground water,1284,10,14.5,6.0,Local government,367,Urban,3,0,3,0,1,1,0,1,0.5066915130098179,-0.4136900652373754,-0.7489995823300967,-0.5066915130098179
63,1090159,BUCKINGHAM TWP FURLONG,Bucks,Ground water,3100,18,14.5,6.0,Local government,169,Urban,4,0,4,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
64,1090160,BCWSA FOX RUN PRESERVE,Bucks,Ground water,220,3,14.5,6.0,Local government,108,Urban,3,0,3,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
65,1090163,PENNLAND FARMS,Bucks,Ground water,452,4,14.5,6.0,Local government,30,Urban,35,0,35,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
66,1090164,MILL CREEK RIDGE,Bucks,Ground water,99,4,14.5,6.0,Local government,73,Urban,21,0,21,0,1,1,1,1,0.7501793968560825,-0.438418808309424,-0.8389297782990067,-0.7501793968560825
67,1150004,AVONWHEEL ESTATE MHP,Chester,Ground water,300,4,19.1,7.1,Private,65,Urban,12,1,13,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
68,1150005,BOROUGH OF AVONDALE,Chester,Ground water,1108,4,19.1,7.1,Local government,329,Urban,4,0,4,0,1,1,0,1,0.5072323537291542,-0.41376457812723044,-0.7492433467091236,-0.5072323537291542
69,1150007,TWIN PINES HEALTH CARE CENTER,Chester,Ground water,120,3,19.1,7.1,Private,2,Urban,28,0,28,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
70,1150011,MALVERN COURTS MHP,Chester,Ground water,250,6,19.1,7.1,Private,108,Urban,4,0,4,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
71,1150013,IMPERIAL MOBILE HOME PARK,Chester,Ground water,151,9,19.1,7.1,Private,51,Urban,41,14,55,0,1,0,1,1,0.7993106799789175,7.298225212195603,2.44688072970758,13.200689320021082
72,1150015,TAYLORS MOBILE HOME PARK,Chester,Ground water,50,6,19.1,7.1,Private,47,Urban,182,0,182,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
73,1150017,MAPLEWOOD MOBILE HOME PARK,Chester,Ground water,70,6,19.1,7.1,Private,31,Urban,12,0,12,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
74,1150019,LONDONDERRY COURT MHP,Chester,Surface water purchased,160,8,19.1,7.1,Private,55,Urban,57,5,62,0,1,0,1,0,2.222469777552577,0.6013172779908587,0.4558522880891856,2.777530222447423
75,1150020,MT IDY MOBILE HOME PARK,Chester,Ground water,80,5,19.1,7.1,Private,40,Urban,2,12,14,0,1,0,1,1,0.7993106799789175,6.1924912561473215,2.2238638774758828,11.200689320021082
76,1150021,ASHWOOD APARTMENTS,Chester,Ground water,75,2,19.1,7.1,Private,75,Urban,3,0,3,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
77,1150026,DOWNINGTOWN WATER AUTHORITY,Chester,Surface water,9900,7,19.1,7.1,Local government,3500,Urban,43,1,44,0,1,1,0,0,1.4103509493825819,-0.13597524128532756,-0.1505059083477333,-0.4103509493825819
78,1150029,ST MARY OF PROVIDENCE CENTER,Chester,Ground water,75,7,19.1,7.1,Private,11,Urban,136,3,139,0,1,0,1,1,0.7993106799789175,1.2166884539300569,0.7768595249874938,2.2006893200210826
79,1150030,LOAGS CORNER MOBILE HOME PARK,Chester,Ground water,130,4,19.1,7.1,Private,49,Urban,2,0,2,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
80,1150035,AQUA PA UWCHLAN,Chester,Surface water purchased,35518,25,19.1,7.1,Private,16600,Urban,0,0,0,0,1,0,0,0,1.5011163715320555,-0.46954200078231434,-0.9957019818839622,-1.5011163715320555
81,1150037,DEVEREUX FOUNDATION BRANDYWINE,Chester,Ground water,300,4,19.1,7.1,Private,19,Urban,8,1,9,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
82,1150039,CAMPHILL SPEC SCH BEAVER RUN,Chester,Ground water,140,4,19.1,7.1,Private,20,Urban,9,0,9,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
83,1150044,TEL HAI RETIREMENT COMMUNITY,Chester,Ground water,930,6,19.1,7.1,Private,1,Urban,8,1,9,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
84,1150045,BRANDYWINE TERRACE MHP,Chester,Ground water,90,3,19.1,7.1,Private,41,Urban,36,0,36,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
85,1150046,UMH GREGORY COURTS MHP,Chester,Ground water,67,4,19.1,7.1,Private,37,Urban,3,0,3,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
86,1150047,KEYSTONE COURT,Chester,Ground water,116,3,19.1,7.1,Private,45,Urban,12,1,13,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
87,1150049,HIDEAWAY MOBILE HOME PARK,Chester,Ground water,95,4,19.1,7.1,Private,39,Urban,1,0,1,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
88,1150051,INDIAN RUN VILLAGE MHP,Chester,Ground water,550,4,19.1,7.1,Private,243,Urban,23,0,23,0,1,0,0,1,0.5398761143011258,-0.41805242673724435,-0.763508110465108,-0.5398761143011258
89,1150052,UMH VALLEY VIEW HONEYBROOK MHP,Chester,Ground water,429,13,19.1,7.1,Private,136,Urban,15,6,21,0,1,0,1,1,0.7993106799789175,2.875289388002478,1.3916703350495856,5.200689320021082
90,1150064,SHADYSIDE MHP,Chester,Ground water,55,3,19.1,7.1,Private,16,Urban,26,1,27,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
91,1150065,ECHO VALLEY MHP,Chester,Ground water,60,4,19.1,7.1,Private,20,Urban,106,5,111,0,1,0,1,1,0.7993106799789175,2.3224224099783375,1.2118372254489367,4.200689320021082
92,1150066,OXFORD BOROUGH,Chester,Surface water purchased,5280,10,19.1,7.1,Local government,1597,Urban,36,1,37,0,1,1,0,0,1.4103509493825819,-0.13597524128532756,-0.1505059083477333,-0.4103509493825819
93,1150069,COVENTRY TERRACE,Chester,Ground water,250,8,19.1,7.1,Private,127,Urban,6,4,10,0,1,0,1,1,0.7993106799789175,1.7695554319541973,1.0101457763384487,3.2006893200210826
94,1150070,HIGHLAND COURT,Chester,Ground water,54,4,19.1,7.1,Private,26,Urban,12,1,13,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
95,1150077,PHOENIXVILLE WATER DEPT,Chester,Surface water,16599,4,19.1,7.1,Local government,5776,Urban,4,1,5,0,1,1,0,0,1.4103509493825819,-0.13597524128532756,-0.1505059083477333,-0.4103509493825819
96,1150078,GARDENS AT POTTSTOWN,Chester,Ground water,70,4,19.1,7.1,Private,1,Urban,14,0,14,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
97,1150081,WARWICK MOBILE HOME PARK,Chester,Ground water,40,7,19.1,7.1,Private,30,Urban,27,0,27,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
98,1150082,LINCOLN CREST MHP,Chester,Ground water,242,9,19.1,7.1,Private,145,Urban,6,4,10,0,1,0,1,1,0.7993106799789175,1.7695554319541973,1.0101457763384487,3.2006893200210826
99,1150083,CREEKVIEW MHP,Chester,Ground water,200,3,19.1,7.1,Private,79,Urban,16,1,17,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
100,1150089,AQUA PA SPRING RUN,Chester,Surface water purchased,7303,24,19.1,7.1,Private,1400,Urban,0,1,1,0,1,0,0,0,1.5011163715320555,-0.1567467973677418,-0.17666472403762862,-0.5011163715320555
101,1150094,APPLEVILLE MOBILE HOME PARK,Chester,Ground water,461,16,19.1,7.1,Private,230,Urban,0,0,0,0,1,0,0,1,0.5398761143011258,-0.41805242673724435,-0.763508110465108,-0.5398761143011258
102,1150098,AQUA PA WEST CHESTER,Chester,Surface water,33918,16,19.1,7.1,Private,9715,Urban,0,0,0,0,1,0,0,0,1.5011163715320555,-0.46954200078231434,-0.9957019818839622,-1.5011163715320555
103,1150102,UMH OXFORD VILLAGE MHP,Chester,Ground water,480,5,19.1,7.1,Private,224,Urban,4,1,5,0,1,0,0,1,0.5398761143011258,0.3562963834123151,0.29552706400927964,0.4601238856988742
104,1150105,WEST GROVE BOROUGH,Chester,Ground water,2873,11,19.1,7.1,Local government,884,Urban,66,0,66,0,1,1,0,1,0.5072323537291542,-0.41376457812723044,-0.7492433467091236,-0.5072323537291542
105,1150106,PA AMERICAN COATESVILLE,Chester,Surface water,30299,15,19.1,7.1,Local government,11004,Urban,1,1,2,0,1,1,0,0,1.4103509493825819,-0.13597524128532756,-0.1505059083477333,-0.4103509493825819
106,1150108,KENNETT SQUARE MUN WATER WORKS,Chester,Surface water purchased,6328,8,19.1,7.1,Local government,1800,Urban,15,0,15,0,1,1,0,0,1.4103509493825819,-0.46733853285299,-0.9818597898472858,-1.4103509493825819
107,1150109,BOROUGH OF ATGLEN,Chester,Surface water purchased,1406,11,19.1,7.1,Local government,406,Urban,59,1,60,0,1,1,0,0,1.4103509493825819,-0.13597524128532756,-0.1505059083477333,-0.4103509493825819
108,1150126,AQUA PA FRANKLIN,Chester,Ground water,265,3,19.1,7.1,Private,88,Urban,0,0,0,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
109,1150131,LONGWOOD GARDENS,Chester,Surface water purchased,250,6,19.1,7.1,Private,54,Urban,5,0,5,0,1,0,1,0,2.222469777552577,-0.48115029181474983,-1.0812004263028374,-2.222469777552577
110,1150137,AQUA PA FRIENDSHIP,Chester,Surface water purchased,7675,26,19.1,7.1,Private,1377,Urban,0,0,0,0,1,0,0,0,1.5011163715320555,-0.46954200078231434,-0.9957019818839622,-1.5011163715320555
111,1150144,MARTINS COMMUNITY LP MHP,Chester,Ground water,180,4,19.1,7.1,Private,67,Urban,8,0,8,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
112,1150145,SHADY GROVE MOBILE HOME PARK,Chester,Ground water,129,6,19.1,7.1,Private,44,Urban,7,0,7,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
113,1150150,CALN MOBILE HOME PARK,Chester,Ground water,30,3,19.1,7.1,Private,18,Urban,9,1,10,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
114,1150155,AQUA PA BEVERSREDE,Chester,Surface water purchased,2300,6,19.1,7.1,Private,359,Urban,0,0,0,0,1,0,0,0,1.5011163715320555,-0.46954200078231434,-0.9957019818839622,-1.5011163715320555
115,1150157,WARWICK WATER WORKS,Chester,Ground water,98,6,19.1,7.1,Private,42,Urban,3,1,4,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
116,1150164,WOODBROOKE WATER AUTHORITY,Chester,Ground water,87,3,19.1,7.1,Private,34,Urban,45,0,45,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
117,1150165,LONDON GROVE TWP MUN AUTH,Chester,Surface water purchased,3706,6,19.1,7.1,Local government,938,Urban,11,0,11,0,1,1,0,0,1.4103509493825819,-0.46733853285299,-0.9818597898472858,-1.4103509493825819
118,1150166,PA AMERICAN ROYERSFORD,Chester,Surface water,48511,19,19.1,7.1,Private,11708,Urban,1,1,2,0,1,0,0,0,1.5011163715320555,-0.1567467973677418,-0.17666472403762862,-0.5011163715320555
119,1150168,CAMPHILL VILLAGE KIMBERTON HLS,Chester,Ground water,100,3,19.1,7.1,Private,11,Urban,18,1,19,0,1,0,1,1,0.7993106799789175,0.11095449788177555,0.10371889391222902,0.20068932002108253
120,1150177,NOTTINGHAM MANOR M H  COURT,Chester,Ground water,513,23,19.1,7.1,Private,192,Urban,177,0,177,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
121,1150183,INDEPENDENCE PARK,Chester,Ground water,91,3,19.1,7.1,Private,35,Urban,38,0,38,0,1,0,1,1,0.7993106799789175,-0.441912480142365,-0.8534553434174801,-0.7993106799789175
122,1150185,VALLEY SPRINGS WATER CO,Chester,Surface water purchased,2500,7,19.1,7.1,Private,392,Urban,60,7,67,0,1,0,0,0,1.5011163715320555,1.7200244231196935,0.9918897190317927,5.4988836284679445
