,PWID,urban_rural
112,NJ1013001,urban
113,NJ1014001,urban
114,NJ1015003,rural
115,NJ1015004,rural
116,NJ1017001,urban
117,NJ1019001,rural
118,NJ1019003,urban
119,NJ1019301,rural
120,NJ1019311,rural
121,NJ1020001,urban
122,NJ1021363,urban
123,NJ0802001,urban
124,NJ0803001,urban
125,NJ0804001,urban
126,NJ0804308,rural
127,NJ0805001,urban
128,NJ0805433,rural
129,NJ0806001,urban
130,NJ0807001,urban
131,NJ0808001,urban
132,NJ0809001,rural
133,NJ0809002,urban
134,NJ0810004,rural
135,NJ0810005,urban
136,NJ0329005,urban
137,NJ0329006,rural
138,NJ0332002,rural
139,NJ0333001,urban
140,NJ0333002,urban
141,NJ0333003,urban
142,NJ0333004,urban
143,NJ0335001,urban
144,NJ0338001,urban
145,NJ0339001,rural
146,NJ0340001,urban
147,NJ0404001,urban
148,NJ0405001,urban
149,NJ0407001,urban
150,NJ0408001,urban
151,NJ0410001,urban
152,NJ0410002,urban
153,NJ0411001,urban
154,NJ0412001,urban
155,NJ0414001,urban
156,NJ0415002,urban
157,NJ0416001,urban
158,NJ0424001,urban
159,NJ0428002,urban
160,NJ0435003,urban
161,NJ0435324,urban
162,NJ0436001,rural
163,NJ0436007,rural
164,NJ0436008,rural
165,NJ0501001,urban
166,NJ0502001,urban
167,NJ0503001,urban
168,NJ0505002,urban
169,NJ0505003,rural
170,NJ0506001,rural
171,NJ0506004,urban
172,NJ0506007,urban
173,NJ0506008,rural
174,NJ0320001,urban
175,NJ0322001,urban
176,NJ0323001,urban
177,NJ0324001,urban
178,NJ0326001,urban
179,NJ0326003,urban
180,NJ0326004,urban
181,NJ0326008,urban
182,NJ0326009,urban
183,NJ0327001,urban
184,NJ0328001,urban
185,NJ0329001,rural
186,NJ0329002,urban
187,NJ0329003,urban
188,NJ0329004,urban
189,NJ0102001,urban
190,NJ0103001,urban
191,NJ0104003,urban
192,NJ0105001,rural
193,NJ0105002,rural
194,NJ0107001,urban
195,NJ0108002,urban
196,NJ0108003,urban
197,NJ0108004,urban
198,NJ0108005,urban
199,NJ0108006,urban
200,NJ0108009,rural
201,NJ0108013,urban
202,NJ0108014,urban
203,NJ0108019,urban
204,NJ0108023,rural
205,NJ0108303,urban
206,NJ0111004,urban
207,NJ0111006,urban
208,NJ0111007,rural
209,NJ0112001,urban
210,NJ0112002,urban
211,NJ0113001,urban
212,NJ0115001,urban
213,NJ0116001,urban
214,NJ0117001,urban
215,NJ0119001,urban
216,NJ0119002,urban
217,NJ0122001,urban
218,NJ0123001,urban
219,NJ0123002,urban
220,NJ0201001,urban
221,NJ0211001,urban
222,NJ0217001,urban
223,NJ0220001,urban
224,NJ0514001,urban
225,NJ0516001,rural
226,NJ0516003,rural
227,NJ0601001,urban
228,NJ0605001,rural
229,NJ0605002,urban
230,NJ0605004,rural
231,NJ0610001,rural
232,NJ0610002,rural
233,NJ0613004,urban
234,NJ0614003,urban
235,NJ0614004,urban
236,NJ0614005,urban
237,NJ0701001,urban
238,NJ0702001,urban
239,NJ0703001,urban
240,NJ0704001,urban
241,NJ0705001,urban
242,NJ0706001,urban
243,NJ0707001,urban
244,NJ0708001,urban
245,NJ0710001,urban
246,NJ0712001,urban
247,NJ0713001,urban
248,NJ0714001,urban
249,NJ0715001,urban
250,NJ0715002,urban
251,NJ0716001,urban
252,NJ0717001,urban
253,NJ0718001,urban
254,NJ0719001,urban
255,NJ0720001,urban
256,NJ0721001,urban
257,NJ0801001,urban
258,NJ0506009,rural
259,NJ0506010,urban
260,NJ0506012,urban
261,NJ0506013,urban
262,NJ0506015,urban
263,NJ0506321,rural
264,NJ0508001,urban
265,NJ0509001,rural
266,NJ0510001,urban
267,NJ0511001,rural
268,NJ0511003,urban
269,NJ0512001,urban
270,NJ1419001,rural
271,NJ1420001,urban
272,NJ1421003,urban
273,NJ1422001,urban
274,NJ1424001,urban
275,NJ1425001,urban
276,NJ1426002,urban
277,NJ1426004,urban
278,NJ1426005,urban
279,NJ1427001,urban
280,NJ1427002,urban
281,NJ1427003,urban
282,NJ1427005,urban
283,NJ1427006,urban
284,NJ1427007,urban
285,NJ1427008,urban
286,NJ1427009,urban
287,NJ1427010,urban
288,NJ1427012,urban
289,NJ1427014,urban
290,NJ1427015,urban
291,NJ1427016,urban
292,NJ1427017,rural
293,NJ1427018,rural
294,NJ1428001,urban
295,NJ1429001,urban
296,NJ1431001,urban
297,NJ1431002,urban
298,NJ1432003,urban
299,NJ1433001,urban
300,NJ1434001,urban
301,NJ1435001,urban
302,NJ1435002,urban
303,NJ1436002,urban
304,NJ1436003,urban
305,NJ1436004,urban
306,NJ1436006,urban
307,NJ1438001,rural
308,NJ1438003,rural
309,NJ1438004,urban
310,NJ1438006,rural
311,NJ1439001,urban
312,NJ1501001,urban
313,NJ1503001,urban
314,NJ1504001,urban
315,NJ1505002,urban
316,NJ1505004,urban
317,NJ1506001,urban
318,NJ1507005,urban
319,NJ1507007,urban
320,NJ1507008,urban
321,NJ1508001,urban
322,NJ1509001,rural
323,NJ1510001,urban
324,NJ1511001,urban
325,NJ1511002,urban
326,NJ1511003,rural
327,NJ1511005,urban
328,NJ1511008,urban
329,NJ1511013,urban
330,NJ1512001,urban
331,NJ1513001,urban
332,NJ1514002,urban
333,NJ1515001,urban
334,NJ1516001,urban
335,NJ1517001,urban
336,NJ1517002,urban
337,NJ1517003,rural
338,NJ1517004,urban
339,NJ1518001,urban
340,NJ1518002,urban
341,NJ1518004,urban
342,NJ1518005,urban
343,NJ1518010,rural
344,NJ1518011,urban
345,NJ1518345,urban
346,NJ1520001,urban
347,NJ1521001,urban
348,NJ1522001,urban
349,NJ1523001,rural
350,NJ1523002,urban
351,NJ1523003,urban
352,NJ1523004,urban
353,NJ1524001,urban
354,NJ1525001,urban
355,NJ1527001,urban
356,NJ1528001,urban
357,NJ1530003,urban
358,NJ1530004,urban
359,NJ1530005,urban
360,NJ1530007,urban
361,NJ1532002,urban
362,NJ1533001,urban
363,NJ1533002,rural
364,NJ1601001,urban
365,NJ1603001,urban
366,NJ1604001,urban
367,NJ1605001,urban
368,NJ1605002,urban
369,NJ1606301,urban
370,NJ1609001,urban
371,NJ1611002,urban
372,NJ1612001,urban
373,NJ1612301,urban
374,NJ1023001,rural
375,NJ1024001,rural
376,NJ1025001,rural
377,NJ1025308,rural
378,NJ1025313,rural
379,NJ1101002,urban
380,NJ1103001,urban
381,NJ1104001,urban
382,NJ1105001,urban
383,NJ1106001,rural
384,NJ1107001,rural
385,NJ1107002,urban
386,NJ1108001,urban
387,NJ1111001,urban
388,NJ1204001,urban
389,NJ1205001,urban
390,NJ1613002,urban
391,NJ1614001,urban
392,NJ1615001,urban
393,NJ1615002,urban
394,NJ1615003,urban
395,NJ1615006,urban
396,NJ1615008,urban
397,NJ1615012,urban
398,NJ1615014,urban
399,NJ1615016,urban
400,NJ1615018,rural
401,NJ1615020,urban
402,NJ1615340,rural
403,NJ1206001,urban
404,NJ1207001,urban
405,NJ1208001,urban
406,NJ1209002,urban
407,NJ1212001,urban
408,NJ1213002,urban
409,NJ1213321,urban
410,NJ1214001,urban
411,NJ1215001,urban
412,NJ1216001,urban
413,NJ1219001,urban
414,NJ1221004,urban
415,NJ1616001,urban
416,NJ1702001,urban
417,NJ1704001,rural
418,NJ1707001,urban
419,NJ1708001,rural
420,NJ1710001,rural
421,NJ1710002,rural
422,NJ1710003,rural
423,NJ1710007,rural
424,NJ1710304,urban
425,NJ1712001,urban
426,NJ1714003,rural
427,NJ1223001,urban
428,NJ1224001,urban
429,NJ1302001,urban
430,NJ1304001,urban
431,NJ1305001,urban
432,NJ1306001,urban
433,NJ1308001,urban
434,NJ1309001,rural
435,NJ1309002,urban
436,NJ1309415,rural
437,NJ1312001,urban
438,NJ1715001,urban
439,NJ1803002,urban
440,NJ1808001,urban
441,NJ1817001,urban
442,NJ1901001,rural
443,NJ1902003,rural
444,NJ1902005,urban
445,NJ1902007,urban
446,NJ1902008,urban
447,NJ1902009,urban
448,NJ1902346,rural
449,NJ1903001,rural
450,NJ1904001,urban
451,NJ1904002,urban
452,NJ1314001,urban
453,NJ1315001,urban
454,NJ1316001,urban
455,NJ1319007,urban
456,NJ1319008,urban
457,NJ1319009,urban
458,NJ1319010,rural
459,NJ1321001,urban
460,NJ1322001,urban
461,NJ1326001,urban
462,NJ1326002,urban
463,NJ1326005,rural
464,NJ1326007,rural
465,NJ1327001,urban
466,NJ1328002,urban
467,NJ1904003,rural
468,NJ1904004,rural
469,NJ1904009,urban
470,NJ1905004,rural
471,NJ1906001,urban
472,NJ1906002,urban
473,NJ1907001,rural
474,NJ1907002,rural
475,NJ1908001,rural
476,NJ1909001,urban
477,NJ1910002,urban
478,NJ1910003,urban
479,NJ1911001,urban
480,NJ1911002,urban
481,NJ1329001,urban
482,NJ1330002,urban
483,NJ1330003,urban
484,NJ1330004,urban
485,NJ1331001,urban
486,NJ1332314,rural
487,NJ1339001,urban
488,NJ1340001,urban
489,NJ1911003,rural
490,NJ1911004,rural
491,NJ1911005,urban
492,NJ1911006,urban
493,NJ1912001,urban
494,NJ1912300,urban
495,NJ1914002,rural
496,NJ1915001,urban
497,NJ1916001,urban
498,NJ1918003,urban
499,NJ1918004,urban
500,NJ1341001,rural
501,NJ1344001,urban
502,NJ1345001,urban
503,NJ1347001,urban
504,NJ1348001,urban
505,NJ1349001,urban
506,NJ1350001,urban
507,NJ1352003,urban
508,NJ1401001,urban
509,NJ1918013,rural
510,NJ1919001,urban
511,NJ1921001,rural
512,NJ1922001,rural
513,NJ1922004,rural
514,NJ1922005,urban
515,NJ1922006,urban
516,NJ1922008,urban
517,NJ1922010,rural
518,NJ1922011,urban
519,NJ1922012,urban
520,NJ1922013,urban
521,NJ1922015,urban
522,NJ1922017,urban
523,NJ1922021,urban
524,NJ1922022,urban
525,NJ1401002,urban
526,NJ1403001,urban
527,NJ1404001,urban
528,NJ1407001,urban
529,NJ1408001,urban
530,NJ1409001,urban
531,NJ1410001,urban
532,NJ1411001,urban
533,NJ1414003,urban
534,NJ1414008,urban
535,NJ1414011,urban
536,NJ1414013,urban
537,NJ1922026,urban
538,NJ1924002,rural
539,NJ1924004,rural
540,NJ2004001,urban
541,NJ2004002,urban
542,NJ2013001,urban
543,NJ2021001,urban
544,NJ2101001,urban
545,NJ2102001,urban
546,NJ2103001,urban
547,NJ2103002,urban
548,NJ2104001,rural
549,NJ2106304,rural
550,NJ2108001,urban
551,NJ2110001,rural
552,NJ1414014,urban
553,NJ1414016,rural
554,NJ1415001,urban
555,NJ1415002,urban
556,NJ1416001,urban
557,NJ1416004,urban
558,NJ1417001,urban
559,NJ2110003,rural
560,NJ2112001,urban
561,NJ2112002,rural
562,NJ2113002,rural
563,NJ2113003,rural
564,NJ2113301,urban
565,NJ2116002,rural
566,NJ2116003,rural
567,NJ2117002,urban
568,NJ2117003,urban
569,NJ2119001,urban
570,NJ2120001,rural
571,NJ2120002,rural
572,NJ2121001,urban
573,NJ2123003,rural
